,Match_num,Team_name,Date,Opponent,Score,Location,Record,Home Record,Spread,Over/Under,Money Line
109,28,Boston Celtics,12-Dec,LA Clippers,L 93-113,Away,21-Jul,4-0,-4,Un 225.5,1.588235294
110,29,Boston Celtics,Dec-13,LA Lakers,W 122-118,Away,22-Jul,4-0,-3.5,Ov 237.0,1.598802395
111,30,Boston Celtics,Dec-16,Orlando,L 109-117,Home,22-Aug,4-0,-13,Pu 226.0,1.106837607
112,31,Boston Celtics,Dec-18,Orlando,L 92-95,Home,22-Sep,4-0,-10.5,Un 223.0,1.194174757
113,32,Boston Celtics,Dec-21,Indiana,L 112-117,Home,22-Oct,4-0,-9.5,Un 232.0,1.251889169
114,33,Boston Celtics,Dec-23,Minnesota,W 121-109,Home,23-Oct,4-0,-9.5,Ov 228.5,1.235849057
115,34,Boston Celtics,Dec-25,Milwaukee,W 139-118,Home,24-Oct,4-0,-5.5,Ov 226.5,1.5
116,35,Boston Celtics,Dec-27,Houston,W 126-102,Home,25-Oct,4-0,-15,Un 229.5,1.071428571
117,36,Boston Celtics,Dec-29,LA Clippers,W 116-110,Home,26-Oct,4-0,-6.5,Un 227.5,1.384615385
118,37,Boston Celtics,01-Jan,Denver,L 111-123,Away,26-Nov,4-0,-3.5,Ov 233.5,1.617283951
119,38,Boston Celtics,01-Mar,Okla City,L 117-150,Away,26-Dec,4-0,-11,Ov 228.5,1.176678445
120,39,Boston Celtics,01-May,Dallas,W 124-95,Away,27-Dec,4-0,-3,Un 231.5,1.666666667
121,40,Boston Celtics,01-Jul,San Antonio,W 121-116,Away,28-Dec,4-0,-15,Ov 234.5,1.071428571
122,41,Boston Celtics,01-Sep,Chicago,W 107-99,Home,29-Dec,4-0,-9,Un 235.5,1.24691358
123,42,Boston Celtics,01-Nov,New Orleans,W 125-114,Home,30-Dec,4-0,-9,Ov 229.5,1.265251989
124,43,Boston Celtics,01-Dec,Brooklyn,W 109-98,Away,31-Dec,5-0,-1,Un 225.5,1.892857143
125,44,Boston Celtics,Jan-14,Charlotte,W 122-106,Away,32-12,5-0,-8,Un 232.5,1.350877193
126,45,Boston Celtics,Jan-16,Charlotte,W 130-118,Away,33-12,5-0,-8.5,Ov 230.5,1.307692308
127,46,Boston Celtics,Jan-19,Golden State,W 121-118,Home,34-12,5-0,-7,Un 241.5,1.386100386
128,47,Boston Celtics,Jan-21,Toronto,W 106-104,Away,35-12,6-0,-3.5,Un 225.0,1.632911392
129,48,Boston Celtics,Jan-23,Orlando,L 98-113,Away,35-13,6-0,-7.5,Un 229.0,1.341296928
130,49,Boston Celtics,Jan-24,Miami,L 95-98,Away,35-14,6-0,2.5,Un 214.5,2.2
131,50,Boston Celtics,Jan-26,New York,L 117-120,Home,35-15,06-Jan,-8.5,Ov 221.0,1.295857988
